panel,figure_item,role_in_argument,what_to_read,key_value,unit,note
A,Input acceleration a(t),kinematic baseline,upstream acceleration peak magnitude,0.24298409,g,baseline input motion; not a Power quantity
B,Acceleration frequency group,frequency baseline,top local acceleration frequency peaks,0.625;3.374;1.125;1.999;4.873;1.499;2.749;3.998,Hz,local window around QSM packet peak
C,Input velocity v(t),kinematic baseline,upstream velocity peak magnitude,0.60479463567879,m/s,velocity layer before QSM Power conversion
D,Velocity frequency group,frequency baseline,top local velocity frequency peaks,0.625;1.125,Hz,local window around QSM packet peak
E,Input-side QSM Power P(t)=a(t)v(t),Power viewpoint transformation,instantaneous input-side QSM Power shock,0.8678546465491435,W/kg,a(t) and v(t) are multiplied into an upstream Power proxy
F,QSM Power frequency group,Power frequency-group map,QSM Power peaks kept as a group,0.625;3.249;4.373;1.125;4.998;1.999;2.749;3.873,Hz,frequency group is not compressed into a scalar score
G,QSM Power packet,upstream Power packet,1s ∫|a·v|dt and lag to IsoDisp peak,0.290066; lag=1.92578,J/kg; s,positive lag means IsoDisp peak occurs after QSM packet peak
H,Interface Power / Work exchange,measured interface exchange,1s ∫|F·v_rel|dt and lag to IsoDisp peak,19.2627; lag=-4.89453,kJ; s,measured exchange layer at the isolation interface
I,Upper-lower displacement response,measured response,upper-lower isolation displacement peak and peak time,634.176; t=40.8242,mm; s,response variable used in summary figures
J,QSM / Interface / IsoDisp frequency-group closure,frequency-domain closure map,"Compare QSM Power, interface Power, and measured IsoDisp response peaks with effective isolation-frequency group lines",QSM=0.625;3.249;4.373;1.125;4.998;1.999;2.749;3.873 | Interface=0.250;1.624 | IsoDisp=0.125;0.250,Hz,"relation map: x=frequency, y=relative amplitude; no scalar compression"
