panel,figure_item,role_in_argument,what_to_read,key_value,unit,note
A,Input acceleration a(t),kinematic baseline,upstream acceleration peak magnitude,0.15005894,g,baseline input motion; not a Power quantity
B,Acceleration frequency group,frequency baseline,top local acceleration frequency peaks,0.375;1.000;1.999;2.874,Hz,local window around QSM packet peak
C,Input velocity v(t),kinematic baseline,upstream velocity peak magnitude,0.41542527944930846,m/s,velocity layer before QSM Power conversion
D,Velocity frequency group,frequency baseline,top local velocity frequency peaks,0.375;0.875,Hz,local window around QSM packet peak
E,Input-side QSM Power P(t)=a(t)v(t),Power viewpoint transformation,instantaneous input-side QSM Power shock,0.23196061846044216,W/kg,a(t) and v(t) are multiplied into an upstream Power proxy
F,QSM Power frequency group,Power frequency-group map,QSM Power peaks kept as a group,0.750;1.374;0.250;2.374;3.873,Hz,frequency group is not compressed into a scalar score
G,QSM Power packet,upstream Power packet,1s ∫|a·v|dt and lag to IsoDisp peak,0.132478; lag=0.257812,J/kg; s,positive lag means IsoDisp peak occurs after QSM packet peak
H,Interface Power / Work exchange,measured interface exchange,1s ∫|F·v_rel|dt and lag to IsoDisp peak,8.6404; lag=0.796875,kJ; s,measured exchange layer at the isolation interface
I,Upper-lower displacement response,measured response,upper-lower isolation displacement peak and peak time,276.418; t=25.5195,mm; s,response variable used in summary figures
J,QSM / Interface / IsoDisp frequency-group closure,frequency-domain closure map,"Compare QSM Power, interface Power, and measured IsoDisp response peaks with effective isolation-frequency group lines",QSM=0.750;1.374;0.250;2.374;3.873 | Interface=0.625;1.249 | IsoDisp=0.250,Hz,"relation map: x=frequency, y=relative amplitude; no scalar compression"
